           0  -1.380219   0.932  0.623  0.000   8 1.000000
         100  -1.472379   0.933  0.620  0.000   8 1.000000
         200  -1.435600   0.934  0.623  0.000   8 1.000000
         300  -1.381000   0.934  0.621  0.000   8 1.000000
         400  -1.176367   0.928  0.618  0.000   6 2.761250
         500  -1.252811   0.915  0.614  0.000   7 1.122170
         600  -1.129360   0.904  0.610  0.000   6 2.761250
         700  -1.189826   0.892  0.607  0.000   5 10.744800
         800  -1.154201   0.884  0.604  0.000   7 1.122170
         900  -1.108953   0.875  0.602  0.000   6 2.761250
        1000  -1.206862   0.868  0.598  0.000   6 2.761250
        1100  -1.091478   0.863  0.596  0.000   5 10.744800
        1200  -1.076230   0.850  0.594  0.000   5 10.744800
